,Name,Rating,Specials,Delivery time,Cost,Coupons
0,Huber And Holly,5.0,"Ice Cream, Desserts",61 MINS,₹200 FOR TWO,50% off | Use WELCOME50
1,Apna Food Court,5.0,"Chinese, Continental",45 MINS,₹450 FOR TWO,50% off | Use WELCOME50
2,abCoffee,5.0,"Beverages, Bakery",41 MINS,₹200 FOR TWO,50% off | Use WELCOME50
3,OG Juices - Cold Pressed Juices,4.9,Juices,63 MINS,₹200 FOR TWO,50% off | Use WELCOME50
4,Spicy Mango,4.9,"South Indian, Sri Lankan, Asian",63 MINS,₹400 FOR TWO,50% off | Use WELCOME50
5,KO Fried Chicken,4.9,"Fast Food, Snacks, Burgers",57 MINS,₹200 FOR TWO,60% off | Use TRYNEW
6,london dairy,4.9,"Desserts, Ice Cream",51 MINS,₹280 FOR TWO,50% off | Use WELCOME50
7,STACK IT,4.9,"American, Snacks, Beverages",51 MINS,₹400 FOR TWO,50% off | Use WELCOME50
8,ALCAZAR,4.9,"Pizzas, Burgers, Cafe, Pastas",47 MINS,₹500 FOR TWO,50% off | Use WELCOME50
9,SWEET COUNTY CAKE SHOP,4.9,Bakery,40 MINS,₹500 FOR TWO,50% off | Use WELCOME50
10,Chitale Xpress,4.8,"Sweets, Snacks",52 MINS,₹350 FOR TWO,50% off | Use WELCOME50
11,Momo Cafe - Courtyard by Marriott,4.8,"Indian, Asian",58 MINS,₹900 FOR TWO,60% off | Use TRYNEW
12,Ice Cream Works,4.8,"Ice Cream, Desserts",56 MINS,₹300 FOR TWO,50% off | Use WELCOME50
13,Bakingo,4.8,"Bakery, Desserts, Beverages, Snacks",48 MINS,₹299 FOR TWO,50% off | Use WELCOME50
14,THE BETEL LEAF CO - Originally from Bangalore,4.8,"Paan, Desserts, Indian",53 MINS,₹200 FOR TWO,50% off | Use WELCOME50
15,ORRA PIZZERIA,4.8,"Fast Food, Chinese",51 MINS,₹150 FOR TWO,50% off | Use WELCOME50
16,Cheesecakes By CakeZone,4.8,"Desserts, Bakery",45 MINS,₹200 FOR TWO,50% off | Use WELCOME50
17,Opa! Bar & Cafe,4.8,"Middle Eastern, Mediterranean, Turkish, Lebanese, Arabian, Salads, Kebabs",52 MINS,₹700 FOR TWO,50% off | Use WELCOME50
18,Buddha Belly,4.8,Chinese,42 MINS,₹300 FOR TWO,50% off | Use WELCOME50
